artist,song,text
Doors,Latino Chrome,"The music was new  
black polished chrome  
And came over the summer  
like liquid night.  
The DJ's took pills to stay awake  
and play for seven days  
They went to the studio  
And someone knew him  
Someone knew the TV showman  
He came to our homeroom party  
and played records  
And when he left in the hot noon sun  
and walked to his car  
We saw the chooks had written  
F-you-see-K on his windshield  
He wiped it off with a rag  
and smiling cooly drove away  
He's rich. Got a big car.  
  
My gang will get you  
Scenes of rape in the arroyo  
Seduction in cars, abandoned buildings  
Fights at the food stand  
The dust  
the shoes  
Open shirts and raised collars  
Bright sculptured hair.  
  
Hey man, you want girls, pills, grass? c'mon...  
I show you good time.  
This place has everything. c'mon...  
I show you.  
  

"
Doors,Love Street,"She lives on Love Street  
Lingers long on Love Street  
She has a house and garden  
I would like to see what happens  
She has robes and she has monkeys  
Lazy diamond studded flunkies  
  
She has wisdom and knows what to do  
She has me and she has you  
She has wisdom and knows what to do  
She has me and she has you  
  
I see you live on Love Street  
There's this store where the creatures meet  
I wonder what they do in there  
Summer Sunday and a year  
  
I guess I like it fine, so far  
She lives on Love Street  
Lingers long on Love Street  
She has a house and garden  
I would like to see what happens  
  
La, la, la, la, la, la, la, La, la, la, la, la, la, la  
La, la, la, la, la, la, la, La, la, la, la, la, la, la

"
Doors,Maggie M'gill,"Ms. Maggie M'Gill,  
She lived on a hill.  
Her daddy got drunk  
And left her the will.  
  
So she went down,  
Down to Tangie Town.  
People down there  
Really like to get it on.  
  
Now if you're sad,  
And you're feeling blue.  
  
Go out and buy a  
Brand new pair of shoes.  
  
And you go down,  
Dow to Tangie Town.  
Cause people down there  
Really like to get it on.  
Get it on.  
  
Illegitimate son  
Of a Rock n' Roll star.  
Illegitimate son  
Of a Rock n' Roll star.  
  
Mom met dad in the back  
Of a Rock n' Roll car.  
  
Well, I'm an old blues man  
And I think that you understand.  
I've been singing the blues  
Ever since the world began.  
  
Maggie, Maggie, Maggie M'Gill.  
Roll on, roll on, Maggie M'Gill.

"
Doors,Mental Floss,"All deserters will be shot  
at 5 o'clock tomorrow morning  
so get yourselves together  
and quit messing around  
No more nonsense!  
The assassination occurred at 3.30  
No one was there to witness it  
Even the breviaries had left their tapestries on the window  
And we were all silenced  
by the sad mildew cloud  
that followed around  
I wish I was back in the land of the...  
of the...  
Aaahm uhm...  
You can't pin that one on me  
I didn't do a goddamn thing  
I was just standing there  
Then a bunch of guys came up  
and started laying all this shit on me  
Now what am I supposed to do?  
I'm an American! You can't touch me!  
Did you know all nuns are 42?  
And their eyes are blue?  
Did you know all table clothes  
are white in France?  
Did you know women wear underpants?  
Well, they do!  
How does a musician imitate  
the sound of underpants sliding  
over a woman's thighs,  
down over her ankles,  
and over her little toes?  
And the rings on her toes?  
And her unquipped toe nails?  
Lightning struck the magic purse  
I didn't do a damn thing, man!  
I was just standing there  
in front of the 'Delicatessen'  
and all these rabbies ran up  
and a bunch of Indians and freaks  
and monsters and f.... just started ...  
mhmh... talking in all these weird languages...  
What aah ... what ... could I say?  
Hey, I'm tired of being a freaky musician  
I wanna be Napoleon!  
Let's have some more wars around here!  
What a stinking, shitty little war we have running over there  
Let's get a big one!  
A real big one!  
With a lotta killings and bombs and blood!  
Schooldays...  
Schooldays...  
Good old-fashioned rule days...  
Schooldays...  
Schooldays...  
Good old-fashioned rule days.

"
Doors,Orange County Suite,"Well I used to know someone fair  
She had orange ribbons in her hair  
She was such a trip  
She was hardly there  
But I loved her  
Just the same  
  
There was rain in our window  
The FM set was ragged  
But she could talk, yeah  
We learned to speak  
  
And one year  
Has gone by  
  
Such a long long road to seek it  
All we did was break and freak it  
We had all  
That lovers ever had  
We just blew it  
And I'm not sad  
  
Well I'm mad  
  
And I'm bad  
  
And two years  
Have gone by  
  
Now her world was bright orange  
And the fire glowed  
And her friend had a baby  
And she lived with us  
Yeah, we broke through the window  
Yeah, we knocked on the door  
Her phone would not answer  
Yeah, but she's still home  
  
Now her father has passed over  
And her sister is a star  
And her mother smokes diamonds  
And she sleeps out in the car  
  
Yeah, but she remembers Chicago  
The musicians and guitars  
And grass by the lake  
And people who laugh'd  
And made her poor heart ache  
  
Now we live down in the valley  
We work out on the farm  
We climb up to the mountains  
And everything's fine  
  
And I'm still here  
And you're still there  
And we're still around

"
Doors,Runnin' Blue,"Poor Otis dead and gone, Left me here to sing his song  
Pretty little girl with the red dress on  
Poor Otis dead and gone  
Yeah, back down, turn around slowly  
Try it again, remembering when  
It was easy, try it again  
Much to easy, rememberin' when  
All right, look at my shoes, Not quite the walkin' blues  
Don't fight, too much to lose, Can't fight the runnin' blues  
Well, I've got the runnin' blues  
Runnin' away, back to L.A.  
Got to find the dock of the bay  
Maybe find it back in L.A.  
Runnin' scared, runnin' blue  
Goin' so fast, what'll I do  
Well, I've got the runnin' blues  
Runnin' away, back to L.A.  
Got to find the dock of the bay  
Maybe find it back in L.A.  
All right, look at my shoes  
Not quite the walkin' blues  
Don't fight, too much to lose  
Can't fight the runnin' blues  
All right, look at my shoes  
Not quite the walkin' blues  
Don't fight, too much to lose  
Can't fight the runnin' blues

"
Doors,Stoned Immaculate,"I'll tell you this  
No eternal reward will forgive us now  
For wasting the dawn.  
  
Back in those days everything was simpler and more confused  
One summer night, going to the pier  
I ran into two young girls  
The blonde one was called Freedom  
The dark one, Enterprise  
We talked and they told me this story  
Now listen to this  
I'll tell you about Texas radio and the big beat  
Soft driven, slow and mad  
  
Reaching your head with the cold, sudden fury of a divine messenger  
Let me tell you about heartache and the loss of god  
Wandering, wandering in hopeless night  
Out here in the perimeter there are no stars  
  
Out here we is stoned  
Immaculate.

"
Doors,Strange Days,"Strange days have found us  
Strange days have tracked us down  
They're going to destroy  
Our casual joys  
We shall go on playing  
Or find a new town  
Yeah!  
  
Strange eyes fill strange rooms  
Voices will signal their tired end  
The hostess is grinning  
Her guests sleep from sinning  
Hear me talk of sin  
And you know this is it  
Yeah!  
  
Strange days have found us  
And through their strange hours  
We linger alone  
Bodies confused  
Memories misused  
As we run from the day  
To a strange night of stone

"
Doors,Take It As It Comes,"Time to live  
Time to lie  
Time to laugh  
Time to die  
Takes it easy, baby  
Take it as it comes  
Don't move too fast  
And you want your love to last  
Oh, you've been movin' much too fast  
Time to walk  
Time to run  
Time to aim your arrows  
At the sun  
Takes it easy, baby  
Take it as it comes  
Don't move too fast  
And you want your love to last  
Oh, you've been movin' much too fast  
Go real slow  
You like it more and more  
Take it as it comes  
Specialize in havin' fun  
Takes it easy, baby  
Take it as it comes  
Don't move too fast  
And you want your love to last  
Oh, you've been movin' much too fast  
Movin' much too fast  
Movin' much too fast

"
Doors,The Crystal Ship,"Before you slip into unconsciousness  
I'd like to have another kiss  
Another flashing chance at bliss  
Another kiss, another kiss  
  
The days are bright and filled with pain  
Enclose me in your gentle rain  
The time you ran was too insane  
We'll meet again, we'll meet again  
  
Oh tell me where your freedom lies  
The streets are fields that never die  
Deliver me from reasons why  
You'd rather cry, I'd rather fly  
  
The crystal ship is being filled  
A thousand girls, a thousand thrills  
A million ways to spend your time  
When we get back, I'll drop a line

"
Doors,The End,"This is the end, beautiful friend  
This is the end, my only friend, the end  
Of our elaborate plans, the end  
Of everything that stands, the end  
No safety or surprise, the end  
I'll never look into your eyes, again  
  
Can you picture what will be, so limitless and free  
Desperately in need, of some, stranger's hand  
In a, desperate land  
  
Lost in a Roman wilderness of pain  
And all the children are insane, all the children are insane  
Waiting for the summer rain, yeah  
There's danger on the edge of town  
Ride the King's highway, baby  
Weird scenes inside the gold mine  
Ride the highway west, baby  
Ride the snake, ride the snake  
To the lake, the ancient lake, baby  
The snake is long, seven miles  
  
Ride the snake, he's old, and his skin is cold  
The west is the best, the west is the best  
Get here, and we'll do the rest  
The blue bus is callin' us, the blue bus is callin' us  
Driver, where you taken us  
  
The killer awoke before dawn, he put his boots on  
He took a face from the ancient gallery  
And he walked on down the hall  
  
He went into the room where his sister lived, and, then he  
Paid a visit to his brother, and then he  
He walked on down the hall, and  
And he came to a door, and he looked inside  
Father, yes son, I want to kill you  
Mother, I want to...  
  
C'mon baby, take a chance with us  
C'mon baby, take a chance with us  
C'mon baby, take a chance with us  
  
And meet me at the back of the blue bus  
Doin' a blue rock, on a blue bus  
Doin' a blue rock, c'mon, yeah  
Kill, kill, kill, kill, kill, kill  
This is the end, beautiful friend  
  
This is the end, my only friend, the end  
It hurts to set you free  
But you'll never follow me  
The end of laughter and soft lies  
The end of nights we tried to die  
This is the end

"
Doors,The Unknown Soldier,"Wait until the war is over  
And we're both a little older  
The unknown soldier  
Breakfast where the news is read  
Television children fed  
Unborn living, living, dead  
Bullet strikes the helmet's head  
And it's all over  
For the unknown soldier  
It's all over  
For the unknown soldier  
Hut  
Hut  
Hut ho hee up  
Hut  
Hut  
Hut ho hee up  
Hut  
Hut  
Hut ho hee up  
Comp'nee  
Halt  
Preeee-zent!  
Arms!  
Make a grave for the unknown soldier  
Nestled in your hollow shoulder  
The unknown soldier  
Breakfast where the news is read  
Television children fed  
Bullet strikes the helmet's head  
And, it's all over  
The war is over  
It's all over  
The war is over  
Well, all over, baby  
All over, baby  
Oh, over, yeah  
All over, baby  
Wooooo, hah-hah  
All over  
All over, baby  
Oh, woa-yeah  
All over  
All over  
Heeeeyyyy

"
Doors,Who Do You Love,"I walked 47 miles on barb wire  
Cobra snake for a necktie  
Built a house by the roadside  
Made of rattlesnake hide  
Brand new chimney up on top  
Made out of human skulls  
  
Come on baby take a walk with me  
Tell me who do you love  
Who do you love, now  
Who do you love, now  
Who do you love, babe  
I say who now, who do you love  
  
Tombstone head and a graveyard mind  
Just 22 and I don't mind dying  
Rode around the town with a rattlesnake whip  
Come on baby don't give me no lip  
  
Who do you love, now  
Who do you love  
Who do you love, child  
  
Night is dark, the sky was blue  
Down the alley the ice wagon flew  
Hit a bump, somebody screamed  
Should of heard just what I seen  
Do you love me, babe  
Do you love her, yeah  
Do you love me, babe  
Do you love it, yeah  
  
Well, who, baby, who do you love  
What do you love, now  
Love, love, love me babe  
Love, love, love me darling  
We're gonna have some fun tonight, right  
All right, all right

"
Doors,Who Scared You,"Who scared you? Why were you born, my babe?  
In two-time's arms with all of your charms, my love.  
Why were you born? Just to play with me?  
To freak out or to be beautiful, my dear?  
Load your head, blow it up, feeling good, baby  
Load your head, blow it up, feeling good, baby, ahh.  
Well my room is so cold, you know you don't have to go, my babe.  
And if you warm it up right, I'm gonna love you tonight, my love.  
Well I'm glad that we came, I hope you're feeling the same.  
Who scared you and why were you born? Please stay.  
I see your rider, coming down the road.  
Got a burden, carrying a heavy load,  
One sack of silver and one bag of gold.

"
Doors,Wild Child,"All right,  
Wild child full of grace  
Savior of the human race,  
Your cool face  
Natural child, terrible child  
Not your mother's or your father's child  
Your our child, screamin' wild  
An ancient rulage of grains,  
And the trees of the night  
Ha, ha, ha, ha  
With hunger at her heels,  
Freedom in her eyes  
She dances on her knees,  
Pirate prince at her side  
Stirrin' into a hollow idols eyes  
Wild child full of grace,  
Savior of the human race  
Your cool face,  
Your cool face,  
Your cool face  
Do you remember when we were in Africa?

"
Doors,Wintertime Love,"Wintertime winds blow cold the season  
Fallen in love, I'm hopin' to be  
Wind is so cold, is that the reason?  
Keeping you warm, your hands touching me  
Come with me dance, my dear  
Winter's so cold this year  
You are so warm  
My wintertime love to be  
Winter time winds blue and freezin'  
Comin' from northern storms in the sea  
Love has been lost, is that the reason?  
Trying so desperately to be free  
Come with me dance, my dear  
Winter's so cold this year  
And you are so warm  
My wintertime love to be  
La, la, la, la  
Come with me dance, my dear  
Winter's so cold this year  
You are so warm  
My wintertime love to be

"
Doors,Wishful Sinful,"Wishful crystal  
Water covers everything in blue  
Coolin' water  
Wishful sinful  
Our love is beautiful to see  
I know where I would like to be  
Right back where I came  
Wishful, sinful, wicked blue  
Water covers you  
Wishful, sinful, wicked you  
Can't escape the blue  
Magic risin'  
Sun is shinin' deep beneath the sea  
But not enough for you and me and sunshine  
Love to hear the wind cry  
Wishful sinful  
Our love is beautiful to see  
I know where I would like to be  
Right back where I came  
Wishful, sinful, wicked blue  
Water covers you  
Wishful, sinful, wicked you  
Can't escape the blue  
Love to hear the wind cry  
Love to hear you cry, yeah, yeah

"
Doors,Alabama Song,"Well, show me the way  
To the next whiskey bar  
Oh, don't ask why  
Oh, don't ask why  
  
Show me the way  
To the next whiskey bar  
Oh, don't ask why  
Oh, don't ask why  
  
For if we don't find  
The next whiskey bar  
I tell you we must die  
I tell you we must die  
I tell you, I tell you I tell you we must die  
  
Oh, moon of Alabama  
We now must say goodbye  
We've lost our good old mama  
And must have whiskey, oh, you know why  
  
Oh, moon of Alabama  
We now must say goodbye  
We've lost our good old mama  
And must have whiskey, oh, you know why  
  
Well, show me the way  
To the next little girl  
Oh, don't ask why  
Oh, don't ask why  
  
Show me the way  
To the next little girl  
Oh, don't ask why Oh, don't ask why  
  
For if we don't find  
The next little girl  
I tell you we must die  
I tell you we must die  
I tell you, I tell you I tell you we must die  
  
Oh, moon of Alabama  
We now must say goodbye  
We've lost our good old mama  
And must have whiskey, oh, you know why

"
Doors,Back Door Man,"Wha, yeah!, c'mon, yeah, yeah, c'mon, yeah  
Yeah, c'mon, oh, yeah, ma  
Yeah, I'm a back door man, I'm a back door man  
The men don't know, but the little girl understand  
  
Hey, all you people that tryin' to sleep  
I'm out to make it with my midnight dream, yeah  
'cause I'm a back door man, the men don't know  
But the little girls understand, all right, yeah  
You men eat your dinner, eat your pork and beans  
I eat more chicken, than any man ever seen, yeah, yeah  
I'm a back door man, wha, the men don't know  
  
But the little girl understand  
Well, I'm a back door man  
I'm a back door man  
Whoa, baby, I'm a back door man  
The men don't know  
But the little girls understand

"
Doors,Break On Through,"You know the day destroys the night  
Night divides the day  
Tried to run  
Tried to hide  
Break on through to the other side  
Break on through to the other side  
Break on through to the other side, yeah  
  
We chased our pleasures here  
Dug our treasures there  
But can you still recall  
The time we cried  
Break on through to the other side  
Break on through to the other side  
  
Yeah!  
see'mon, yeah  
  
Everybody loves my baby  
Everybody loves my baby  
She get(s high)  
She get(s high)  
She get(s high)  
She get(s high)  
  
I found an island in your arms  
Country in your eyes  
Arms that chain  
Eyes that lie  
Break on through to the other side  
Break on through to the other side  
Break on through, oww!  
Oh, yeah!  
  
Made the scene  
Week to week  
Day to day  
Hour to hour  
The gate is straight  
Deep and wide  
Break on through to the other side  
Break on through to the other side  
Break on through  
Break on through  
Break on through  
Break on through  
Yeah, yeah, yeah, yeah  
Yeah, yeah, yeah, yeah, yeah

"
Doors,Carol,"Oh, Carol!  
Don't let him steal your heart away.  
Yeah I've got to love you darling  
If it takes me all night and day.  
Beat cool down,  
Over cool down,  
I can hear that highway sound.  
  
Carol!  
Don't let him steal your heart away.  
Well I'm gonna love you darling  
If it takes me all night and day.  
  
Whoa, Carol!  
Oh, Carol!  
Don't let him steal your heart away.  
Yeah I'm gonna love you darling  
If it takes me all night and day.  
  
One more time!  
Whoa, Carol!  
Come on, Carol!  
Oh yeah!  
Oh right!  
Well I'm gonna love you darling  
If it takes me all night and day.

"
Doors,Cars Hiss By My Window,"The cars hiss by my window  
Like the waves down on the beach  
The cars hiss by my window  
Like the waves down on the beach  
I got this girl beside me  
But she's out of reach  
  
Headlight through my window  
Shinin' on the wall  
Headlight through my window  
Shinin' on the wall  
Can't hear my baby  
Though I called and called  
  
Yeah, right  
Woo!  
  
Windows started tremblin'  
With a sonic boom  
Windows started tremblin'  
With a sonic boom, boom  
A call girl will kill you  
In a darkened room  
  
Yeah, woo  
Ride  
Ride on  
Weooooo!  
Wawa, eooo!  
Oooo, owa, owaaa!  
Wa, waaaaea!  
Ooo, wa, wa, wa, wa, waa!  
Uh-huh

"
Doors,Crawling King Snake,"Well, I'm the Crawlin' King Snake  
And I rule my den  
I'm the Crawlin' King Snake  
And I rule my den  
Yeah, don't mess 'round with my mate  
Gonna use her for myself  
  
Caught me crawlin', baby, window  
Grass is very high  
Keep on crawlin' till the day I die  
Crawlin' King Snake  
And I rule my den  
You better give me what I want  
Gonna crawl no more  
  
Caught me crawlin', baby  
Crawlin' 'round your door  
Seein' everything I want  
I'm gonna crawl on your floor  
Let's crawl  
And I rule my den  
C'mon, give me what I want  
Ain't gonna crawl no more  
  
Alright, crawl a while  
  
C'mon crawl  
C'mon crawl  
Get on out there on your hands and knees, baby  
Crawl all over me  
Just like the spider on the wall  
Ooo, we gonn' crawl, one more  
  
Well, I'm the Crawlin' King Snake  
And I rule my den  
Call me the Crawlin' King Snake  
And I rule my den  
Yeah, don't mess 'round with my mate  
Gonna use her for myself

"
Doors,Crossroads,"I went down to the crossroads, fell down on my knees  
Down to the crossroads, fell down on my knees  
I said, 'I'm beggin' for mercy, [Incomprehensible] if you please?""  
  
I went down to the crossroads, tried to beg a ride  
Down to the crossroads, tried to beg a ride  
Nobody seemed to know me, everybody passed me by  
I wanna take a ride  
  
Going down to Rosedale, take [Incomprehensible] by my side  
Going down to Rosedale, take [Incomprehensible] by my side  
Can still buy a house baby, on the riverside  
One more time  
  
You can run, you can run, tell my friends I'll be by  
You can run, you can run, tell my friends I'll be by  
And I'm standing at the crossroads, believe I'm sinking down

"
Doors,Dawn's Highway,"Indians scattered on dawn's highway bleeding  
Ghosts crowd the young child's fragile eggshell mind.  
  
Me and my -ah- mother and father - and a  
Grandmother and a grandfather - were driving through  
The desert, at dawn, and a truck load of Indian  
Workers had either hit another car, or just - I don't  
Know what happened - but there were Indians scattered  
All over the highway, bleeding to death.  
  
So the car pulls up and stops. That was the first time I tasted fear.  
I musta' been about four - like a child is like a flower,  
His head is just floating in the breeze, man.  
The reaction I get now thinking about it, looking back  
Is that the souls of the ghosts of those dead Indians  
Maybe one or two of 'em, were just running around freaking out,  
And just leaped into my soul.  
And they're still in there.  
  
Indians scattered on dawn's highway bleeding  
Ghosts crowd the young child's fragile eggshell mind.  
  
Blood in the streets in the town of New Haven  
Blood stains the roofs and the palm trees of Venice  
Blood in my love in the terrible summer  
Bloody red sun of fantastic L.A.  
  
Blood screams her brain as they chop off her fingers  
Blood will be born in the birth if a nation  
Blood is the rose of mysterious union  
Blood on the rise, it's following me.  
  
Indian, Indian what did you die for?  
Indian says, nothing at all.

"
Doors,"Dead Cats, Dead Rats","Dead cats, dead rats  
Can't see what they were at, all right  
Dead cat in a top hat, wow  
Sucking on the young man's blood  
Wishing he could come, yeah  
Sucking on the soldier's brain  
Wishing it would be the same  
  
Dead cat, dead rat  
Can't you see what they were at?  
Fat cat in a top hat  
Thinks he's an aristocrat  
Thinks he can kill and slaughter  
Thinks he can shoot my daughter  
  
Yeah right! Oh yeah!  
Oh right! Yeeah!  
  
Dead cats, dead rats  
Think they're an aristocrat  
Crap, now that's crap!

"
Doors,Do It,"Yuppa tuppa ta ta,  
Yuppa tuppa chic ta  
Do thang, do thang,  
Do tuppa thang cho  
Rikki te tatar,  
Te teen tar  
De dow dow,  
Ha, ha, ha, ha,  
Ha, ha, ha, ha  
Yeah,  
Yeah please me, yeah  
Easy, babe,  
Please me  
Please, please listen to me children  
Please, please listen to me children  
Please, please listen to me children  
Said please, please listen to me children  
You are the ones who will rule the world  
Listen to me children  
Listen to me children  
Please, please listen to me children  
Please, please listen to me children  
You are the ones who will rule the world, ha  
You gotta please me,  
All night  
Please, please listen to me children  
Said please, please listen to me children  
Please, yeah, please me, I'm askin' you  
Please, please listen to me children  
Please, please listen to me children  
Please, please listen to me children  
Please, my children  
Please, children,  
Please, children

"
